course_title,price,num_subscribers,level_52,level_All Levels,level_Beginner Level,level_Expert Level,level_Intermediate Level,subject_Business Finance,subject_Graphic Design,subject_Musical Instruments,subject_Web Development,num_subscribers_log,price_norm
ultimate investment banking course,200,2147,False,True,False,False,False,True,False,False,False,7.672292455628756,1.0
complete gst course certification grow your ca practice,75,2792,False,True,False,False,False,True,False,False,False,7.934871565945177,0.375
financial modeling for business analysts and consultants,45,2174,False,False,False,False,True,True,False,False,False,7.684783943522785,0.225
beginner to pro financial analysis in excel 2017,95,2451,False,True,False,False,False,True,False,False,False,7.804659297056102,0.47500000000000003
how to maximize your profits trading options,200,1276,False,False,False,False,True,True,False,False,False,7.152268856032539,1.0
trading penny stocks a guide for all levels in 2017,150,9221,False,True,False,False,False,True,False,False,False,9.129347212766652,0.75
investing and trading for beginners mastering price charts,65,1540,False,False,True,False,False,True,False,False,False,7.340186835320115,0.325
trading stock chart patterns for immediate explosive gains,95,2917,False,True,False,False,False,True,False,False,False,7.978653729082731,0.47500000000000003
options trading 3 advanced stock profit and success method,195,5172,False,False,False,True,False,True,False,False,False,8.551208070003515,0.975
the only investment strategy you need for your retirement,200,827,False,True,False,False,False,True,False,False,False,6.71901315438526,1.0
forex trading secrets of the pros with amazons aws,200,4284,False,True,False,False,False,True,False,False,False,8.36287583103188,1.0
trading options with money flow,200,1380,False,True,False,False,False,True,False,False,False,7.2305631534092925,1.0
financial management risk and return for securities,30,3607,False,True,False,False,False,True,False,False,False,8.190908881182514,0.15
forex trading course work smarter not harder proven results,195,4061,False,True,False,False,False,True,False,False,False,8.30943074214033,0.975
python algo trading sentiment trading with news,200,294,False,True,False,False,False,True,False,False,False,5.68697535633982,1.0
short selling learn to sell stocks before the fall,75,2276,False,False,False,False,True,True,False,False,False,7.7306140660637395,0.375
basic technical analysis learn the structure of the market,20,4919,False,False,True,False,False,True,False,False,False,8.501063809486354,0.1
the complete chart pattern trading course a proven approach,200,2666,False,True,False,False,False,True,False,False,False,7.888709524182015,1.0
7 deadly mistakes of investing that will slash your profits,50,5354,False,True,False,False,False,True,False,False,False,8.585785982881848,0.25
financial statements made easy,95,8095,False,False,True,False,False,True,False,False,False,8.999125391527247,0.47500000000000003
winning forex trading with live forex trading examples,200,809,False,True,False,False,False,True,False,False,False,6.697034247666484,1.0
forex traders create your first trading robot no coding,200,2295,False,True,False,False,False,True,False,False,False,7.738923757439457,1.0
create a business from home trading stocks today in 2017,75,10149,False,True,False,False,False,True,False,False,False,9.225228984469933,0.375
introduction to accounting mastering financial statements,50,1916,False,False,True,False,False,True,False,False,False,7.558516743045645,0.25
the complete ethereum course get 01 ether in your wallet,45,2507,False,True,False,False,False,True,False,False,False,7.827240901752812,0.225
beginner to pro in powerpoint complete powerpoint training,150,5786,False,True,False,False,False,True,False,False,False,8.663369301573839,0.75
